,LAT,LON,ZipCode,cc,k2,k3,k4,k5,k6,k7,k8,k9,k10
10472,40.829556,-73.869336,10472,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10473,40.81869,-73.858474,10473,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10474,40.810549,-73.884367,10474,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
10475,40.875169,-73.823817,10475,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
11004,40.746204,-73.711478,11004,0.0,1.0,0.0,0.0,1.0,1.0,6.0,7.0,6.0,6.0
11101,40.747155,-73.93975,11101,0.0,1.0,0.0,0.0,1.0,1.0,6.0,7.0,6.0,6.0
11102,40.772884,-73.926295,11102,0.0,1.0,0.0,0.0,1.0,1.0,6.0,7.0,6.0,6.0
11103,40.762574,-73.913447,11103,0.0,1.0,0.0,0.0,1.0,1.0,6.0,7.0,6.0,6.0
11104,40.744634,-73.920201,11104,0.0,1.0,0.0,0.0,1.0,1.0,6.0,7.0,6.0,6.0
11105,40.778877,-73.906769,11105,0.0,1.0,0.0,0.0,1.0,1.0,6.0,7.0,6.0,6.0
11106,40.762211,-73.931528,11106,0.0,1.0,0.0,0.0,1.0,1.0,6.0,7.0,6.0,6.0
11109,40.745115,-73.956928,11109,0.0,1.0,0.0,0.0,1.0,1.0,6.0,7.0,6.0,6.0
11201,40.693682,-73.989693,11201,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
11203,40.649591,-73.934371,11203,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
11204,40.618779,-73.984826,11204,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
11205,40.694696,-73.966286,11205,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
11206,40.701954,-73.942358,11206,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
11207,40.670747,-73.894209,11207,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
11208,40.669769,-73.871372,11208,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
11209,40.621982,-74.030324,11209,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
11210,40.628147,-73.946324,11210,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
11211,40.712597,-73.953098,11211,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
11212,40.662936,-73.913029,11212,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
11213,40.671078,-73.936336,11213,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
11214,40.599148,-73.99609,11214,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
