,NUM,LAT,LON,cc,k2,k3,k4,k5,k6,k7,k8,k9,k10,ZipCode
11106,12692.0,40.762211,-73.931528,0,0,1,0,3,4,6,6,7,6,11106
11109,299.0,40.745115,-73.956928,0,0,1,0,3,4,6,6,7,6,11109
11201,20627.0,40.693682,-73.989693,0,0,1,0,3,4,1,0,6,7,11201
11203,26879.0,40.649591,-73.934371,0,0,1,0,3,4,1,0,6,7,11203
11204,19936.0,40.618779,-73.984826,0,0,1,0,3,4,1,0,6,7,11204
11205,19845.0,40.694696,-73.966286,0,0,1,0,3,4,1,0,6,7,11205
11206,26609.0,40.701954,-73.942358,0,0,1,0,3,4,1,0,6,7,11206
11207,36728.0,40.670747,-73.894209,0,0,1,0,3,4,1,0,6,7,11207
11208,33193.0,40.669769,-73.871372,0,0,1,0,3,4,1,0,6,7,11208
11209,25718.0,40.621982,-74.030324,0,0,1,0,3,4,1,0,1,3,11209
11210,22490.0,40.628147,-73.946324,0,0,1,0,3,4,1,0,6,7,11210
11211,24808.0,40.712597,-73.953098,0,0,1,0,3,4,1,0,6,7,11211
11212,28692.0,40.662936,-73.913029,0,0,1,0,3,4,1,0,6,7,11212
11213,29780.0,40.671078,-73.936336,0,0,1,0,3,4,1,0,6,7,11213
11214,23343.0,40.599148,-73.99609,0,0,1,0,3,4,1,0,6,7,11214
11215,22461.0,40.662688,-73.98674,0,0,1,0,3,4,1,0,1,3,11215
11216,28792.0,40.680768,-73.949316,0,0,1,0,3,4,1,0,6,7,11216
11217,17456.0,40.682306,-73.978099,0,0,1,0,3,4,1,0,6,7,11217
11218,22847.0,40.643468,-73.976046,0,0,1,0,3,4,1,0,6,7,11218
11219,19054.0,40.632667,-73.996669,0,0,1,0,3,4,1,0,6,7,11219
11220,25747.0,40.641221,-74.016862,0,0,1,0,3,4,1,0,1,3,11220
11221,32676.0,40.69134,-73.927879,0,0,1,0,3,4,1,0,6,7,11221
11222,16137.0,40.72779,-73.947605,0,0,1,0,3,4,1,0,6,7,11222
11223,21292.0,40.597139,-73.973428,0,0,1,0,3,4,1,0,6,3,11223
11224,9644.0,40.577372,-73.988706,0,0,1,0,3,4,1,0,6,7,11224
11225,29486.0,40.663046,-73.954219,0,0,1,0,3,4,1,0,6,7,11225
11226,51099.0,40.646448,-73.956649,0,0,1,0,3,4,1,0,1,3,11226
11228,12016.0,40.616695,-74.013047,0,0,1,0,3,4,1,0,1,3,11228
11229,22339.0,40.601293,-73.944493,0,0,1,0,3,4,1,0,1,3,11229
11230,27534.0,40.622164,-73.965105,0,0,1,0,3,4,1,0,6,7,11230
11231,11978.0,40.677916,-74.005154,0,0,1,0,3,4,1,0,6,7,11231
11232,10156.0,40.656546,-74.007355,0,0,1,0,3,4,1,0,6,7,11232
11233,28260.0,40.678308,-73.919936,0,0,1,0,3,4,1,0,6,7,11233
11234,28441.0,40.60508,-73.911721,0,0,1,0,3,4,1,0,6,7,11234
11235,25812.0,40.583949,-73.949096,0,0,1,0,3,4,1,0,1,3,11235
11236,24495.0,40.639413,-73.900664,0,0,1,0,3,4,1,0,6,7,11236
11237,22932.0,40.70416,-73.921139,0,0,1,0,3,4,1,0,6,7,11237
11238,25785.0,40.679171,-73.963804,0,0,1,0,3,4,1,0,1,3,11238
11239,1698.0,40.647735,-73.879477,0,0,1,0,3,4,1,0,6,7,11239
11241,16.0,40.6934,-73.9907,0,0,1,0,3,4,1,0,1,3,11241
11242,11.0,40.6931,-73.9908,0,0,1,0,3,4,1,0,6,7,11242
11249,11514.0,40.7119,-73.9661,0,0,1,0,3,4,1,0,6,7,11249
11354,14054.0,40.768208,-73.827403,0,0,1,3,0,0,3,7,4,1,11354
11355,18916.0,40.751452,-73.821031,0,0,1,3,0,0,3,7,4,1,11355
11356,8348.0,40.78485,-73.841279,0,0,1,3,0,0,3,7,4,1,11356
11357,10038.0,40.786393,-73.810864,0,0,1,3,0,0,3,7,4,1,11357
11358,10716.0,40.760471,-73.796371,0,0,1,3,0,0,3,7,4,1,11358
11359,18.0,40.791781,-73.776875,0,0,1,3,0,0,3,7,4,1,11359
11360,3607.0,40.780379,-73.78123,0,0,1,3,0,0,3,7,4,1,11360
11361,7942.0,40.764191,-73.772775,0,0,1,3,0,0,3,7,4,1,11361
11362,4227.0,40.756574,-73.737845,0,0,1,3,0,0,3,7,4,1,11362
11363,2655.0,40.772616,-73.746526,0,0,1,3,0,0,3,7,4,1,11363
11364,7240.0,40.745289,-73.760586,0,0,1,3,0,0,3,7,4,1,11364
11365,9444.0,40.739634,-73.79449,0,0,1,3,0,0,3,7,4,1,11365
11366,7636.0,40.728152,-73.785019,0,0,1,3,0,0,3,7,4,1,11366
11367,8966.0,40.730145,-73.82703,0,0,1,3,0,0,3,7,4,1,11367
11368,25170.0,40.751718,-73.851822,0,0,1,3,0,0,3,7,4,1,11368
11369,10940.0,40.763365,-73.872374,0,0,1,3,0,0,3,7,4,1,11369
11370,6734.0,40.765393,-73.893243,0,0,1,3,0,0,3,7,4,1,11370
